year,unit,topic,core_word_1,core_word_2,core_word_3,core_word_4
3,3,Lunchbox choices,crunchy,fresh,enough,thirsty
3,4,A change in weather,drizzle,forecast,shelter,waterproof
3,5,Finding your way,corner,opposite,straight,crossing
3,6,At the shops,price,change,receipt,choose
3,7,A fair playground,fair,turn,agree,rule
3,8,Looking after things,tidy,sort,repair,useful
3,9,Books we choose,character,setting,clue,ending
3,10,Our school garden,seed,soil,shoot,gentle
3,11,A trip to the beach,shore,tide,shallow,litter
3,12,Getting around,arrive,depart,timetable,passenger
3,13,Feelings and needs,worried,calm,rest,explain
3,14,Working together,task,partner,plan,check
3,15,Making something tasty,measure,stir,mixture,finally
3,16,Celebrating together,celebrate,welcome,tradition,belong
3,17,The world online,message,private,permission,pause
3,18,Noticing the natural world,native,feather,quietly,notice
3,19,Changing our waste,reduce,reuse,recycle,rubbish
3,20,Moving and practising,balance,stretch,practise,improve
3,21,Solving a mystery,missing,search,perhaps,discover
3,22,Telling our stories,beginning,middle,suddenly,afterwards
3,23,An idea worth sharing,opinion,reason,suggest,listen
3,24,Looking back and ahead,remember,confident,challenge,goal
4,1,Ready for class,prepare,follow,understand,finish
4,2,Making friends,greet,share,friendly,support
4,3,Lunchbox choices,healthy,snack,refill,prefer
4,4,A change in weather,cloudy,shower,temperature,protect
4,5,Finding your way,direction,nearby,across,map
4,6,At the shops,cost,total,cheaper,decide
4,7,A fair playground,patient,equal,solve,calmly
4,8,Looking after things,clean,mend,store,waste
4,9,Books we choose,plot,detail,theme,describe
4,10,Our school garden,root,stem,growth,sunlight
4,11,A trip to the beach,coast,wave,rockpool,pollution
4,12,Getting around,journey,station,board,cancel
4,13,Feelings and needs,nervous,relaxed,upset,solution
4,14,Working together,role,discuss,cooperate,complete
4,15,Making something tasty,recipe,slice,boil,taste
4,16,Celebrating together,culture,ceremony,special,community
4,17,The world online,password,safe,trust,report
4,18,Noticing the natural world,environment,forest,creature,survive
4,19,Changing our waste,compost,plastic,collect,save
4,20,Moving and practising,warm-up,skill,effort,routine
4,21,Solving a mystery,unusual,possibility,pattern,result
4,22,Telling our stories,event,paragraph,dialogue,connect
4,23,An idea worth sharing,idea,example,point,convince
4,24,Looking back and ahead,progress,strength,target,future
5,1,Ready for class,clarify,instruction,organise,responsibility
5,2,Making friends,include,considerate,hesitate,encourage
5,3,Lunchbox choices,ingredient,portion,balanced,preference
5,4,A change in weather,conditions,predict,likely,warning
5,5,Finding your way,route,landmark,intersection,destination
5,6,At the shops,budget,compare,value,purchase
5,7,A fair playground,compromise,resolve,disagreement,respectful
5,8,Looking after things,priority,efficient,maintain,reusable
5,9,Books we choose,infer,evidence,narrator,motive
5,10,Our school garden,observe,germinate,variable,record
5,11,A trip to the beach,habitat,marine,fragile,impact
5,12,Getting around,delay,alternative,transfer,schedule
5,13,Feelings and needs,frustrated,reassure,perspective,strategy
5,14,Working together,contribute,coordinate,deadline,feedback
5,15,Making something tasty,quantity,method,adjust,consistent
5,16,Celebrating together,heritage,custom,diverse,importance
5,17,The world online,consent,reliable,source,audience
5,18,Noticing the natural world,species,adaptation,conservation,threat
5,19,Changing our waste,sustainable,resource,proposal,consequence
5,20,Moving and practising,stamina,technique,gradual,achievement
5,21,Solving a mystery,theory,investigate,conclude,question
5,22,Telling our stories,sequence,tension,resolution,vivid
5,23,An idea worth sharing,persuade,justify,viewpoint,benefit
5,24,Looking back and ahead,reflect,evaluate,apply,independent
6,1,Ready for class,prioritise,requirement,initiative,accountability
6,2,Making friends,empathy,inclusion,negotiate,mutual
6,3,Lunchbox choices,nutrition,dietary,moderate,substitute
6,4,A change in weather,precaution,humidity,severe,probability
6,5,Finding your way,navigate,detour,orientation,accessible
6,6,At the shops,consumer,discount,quality,expense
6,7,A fair playground,fairness,conflict,mediate,outcome
6,8,Looking after things,durable,preserve,minimise,lifespan
6,9,Books we choose,interpret,symbolism,implication,tone
6,10,Our school garden,experiment,hypothesis,factor,data
6,11,A trip to the beach,ecosystem,erosion,biodiversity,vulnerable
6,12,Getting around,commute,disruption,connection,capacity
6,13,Feelings and needs,resilience,regulate,coping,wellbeing
6,14,Working together,delegate,collaboration,consensus,accountable
6,15,Making something tasty,ratio,texture,process,modify
6,16,Celebrating together,significance,identity,representation,influence
6,17,The world online,credibility,bias,misinformation,verify
6,18,Noticing the natural world,organism,population,interdependence,distribution
6,19,Changing our waste,consumption,renewable,footprint,efficiency
6,20,Moving and practising,endurance,coordination,recovery,performance
6,21,Solving a mystery,assumption,contradict,deduction,plausible
6,22,Telling our stories,flashback,foreshadowing,atmosphere,structure
6,23,An idea worth sharing,counterargument,claim,rebuttal,reasoning
6,24,Looking back and ahead,transferable,self-assess,adapt,ownership
